text,label
uber ride,Travel
petrol,Utilities
fixed deposit,Health
train ticket,Edu
electricity bill,Entertainment
atm withdrawal,Fod
grocery shopping,Investment
movie tickets,Others
gym membership,Bonus
online course,Food
emi payment,Rent
internet bill,Traval
medicine,Foodd
gym membership,Education
gym membership,Entrtnmnt
uber ride,Utility
monthly rent payment,Savings
petrol,Rent
misc,Salary
monthly rent payment,Freelance
gym membership,Investment
gym membership,Edu
electricity bill,Utilties
online course,Fod
internet bill,Saving
coffee,Rent
grocery shopping,Edu
restaurant dinner,Freelance
grocery shopping,Travel
shopping,Food
lunch,Travel
monthly rent payment,Savings
fixed deposit,Food
atm withdrawal,Food
misc,Others
atm withdrawal,Fod
medicine,Travel
shopping,Investment
lunch,Rentt
train ticket,Travl
electricity bill,Rentt
misc,Rent
uber ride,Freelance
medicine,Rent
books,Educaton
restaurant dinner,Rent
train ticket,Salary
grocery shopping,Food
fixed deposit,Education
shopping,Health
uber ride,Others
monthly rent payment,Food
gym membership,Rentt
coffee,Travl
fixed deposit,Utilties
train ticket,Savings
fixed deposit,Education
emi payment,Food
medicine,Utilties
medicine,Utilties
gym membership,Food
internet bill,Rent
grocery shopping,Travel
misc,Educaton
emi payment,Rent
movie tickets,Others
medicine,Traval
online course,Health
train ticket,Foodd
grocery shopping,Food
train ticket,Foodd
emi payment,Investment
monthly rent payment,Investment
shopping,Salary
shopping,Travel
coffee,Foods
grocery shopping,Food
books,Bonus
coffee,Travl
doctor consultation,Entertainment
monthly rent payment,Foodd
petrol,Salary
electricity bill,Investment
online course,Food
lunch,Rent
shopping,Rent
grocery shopping,Foodd
emi payment,Saving
movie tickets,Foods
shopping,Health
shopping,Foods
books,Foods
gym membership,Educaton
grocery shopping,Entertainment
medicine,Food
emi payment,Foods
uber ride,Rentt
emi payment,Rent
petrol,Travl
movie tickets,Entertainment
fixed deposit,Utility
petrol,Food
atm withdrawal,Travel
gym membership,Others
restaurant dinner,Travl
grocery shopping,Foods
misc,Traval
lunch,Utilties
internet bill,Utilities
train ticket,Rentt
movie tickets,Savings
internet bill,Travel
fixed deposit,Freelance
gym membership,Food
atm withdrawal,Utlities
medicine,Foodd
uber ride,Rent
shopping,Educaton
monthly rent payment,Entertainment
fixed deposit,Food
misc,Travel
medicine,Health
internet bill,Savings
train ticket,Traval
emi payment,Freelance
online course,Helth
monthly rent payment,Travel
movie tickets,Fod
shopping,Bonus
online course,Entertain
coffee,Salary
coffee,Educaton
grocery shopping,Travel
internet bill,Rent
medicine,Food
gym membership,Foods
coffee,Rent
gym membership,Foodd
monthly rent payment,Health
fixed deposit,Freelance
fixed deposit,Rentt
petrol,Foodd
train ticket,Educaton
petrol,Entrtnmnt
gym membership,Foods
books,Rent
shopping,Other
misc,Rent
doctor consultation,Utilities
electricity bill,Salary
shopping,Others
lunch,Entertainment
misc,Entertainment
emi payment,Foods
electricity bill,Bonus
online course,Rnt
doctor consultation,Traval
monthly rent payment,Saving
internet bill,Rent
lunch,Bonus
emi payment,Food
coffee,Salary
medicine,Entertainment
monthly rent payment,Education
shopping,Foodd
medicine,Entertainment
train ticket,Health
monthly rent payment,Food
gym membership,Food
online course,Food
gym membership,Rnt
coffee,Rentt
doctor consultation,Others
restaurant dinner,Food
atm withdrawal,Fod
gym membership,Fod
uber ride,Utilities
shopping,Travel
lunch,Food
monthly rent payment,Foodd
movie tickets,Educaton
electricity bill,Entertain
atm withdrawal,Savings
atm withdrawal,Rentt
fixed deposit,Travel
doctor consultation,Educaton
online course,Salary
doctor consultation,Rentt
doctor consultation,Entertainment
coffee,Entertainment
gym membership,Travel
restaurant dinner,Fod
internet bill,Travl
doctor consultation,Utlities
emi payment,Savings
online course,Utility
monthly rent payment,Others
shopping,Rnt
online course,Food
movie tickets,Rent
gym membership,Bonus
coffee,Travl
internet bill,Salary
movie tickets,Food
atm withdrawal,Traval
lunch,Fod
restaurant dinner,Travl
lunch,Salary
shopping,Health
internet bill,Foodd
emi payment,Rnt
train ticket,Foodd
movie tickets,Food
internet bill,Freelance
uber ride,Salary
grocery shopping,Food
uber ride,Education
shopping,Food
internet bill,Others
medicine,Rnt
misc,Food
gym membership,Travel
online course,Rent
restaurant dinner,Utility
monthly rent payment,Food
grocery shopping,Foods
online course,Education
monthly rent payment,Utility
misc,Rentt
medicine,Entertainment
lunch,Education
petrol,Education
petrol,Utlities
gym membership,Rent
petrol,Travel
uber ride,Entertain
movie tickets,Rent
atm withdrawal,Entertainment
books,Travl
books,Entrtnmnt
restaurant dinner,Foods
books,Freelance
online course,Bonus
atm withdrawal,Rent
emi payment,Utilties
medicine,Food
medicine,Fod
shopping,Travl
shopping,Rent
petrol,Health
electricity bill,Others
grocery shopping,Travel
misc,Rentt
restaurant dinner,Travl
uber ride,Food
emi payment,Rentt
grocery shopping,Entertain
coffee,Entertainment
restaurant dinner,Health
lunch,Bonus
monthly rent payment,Education
atm withdrawal,Utilities
electricity bill,Foodd
lunch,Travel
petrol,Misc
coffee,Travel
doctor consultation,Utilties
electricity bill,Rent
online course,Foodd
coffee,Freelance
doctor consultation,Rnt
fixed deposit,Foodd
online course,Food
electricity bill,Others
gym membership,Savings
gym membership,Health
gym membership,Food
monthly rent payment,Utilities
misc,Travl
electricity bill,Health
emi payment,Education
monthly rent payment,Helth
fixed deposit,Travel
doctor consultation,Entrtnmnt
grocery shopping,Travel
restaurant dinner,Rentt
internet bill,Travel
gym membership,Food
train ticket,Rentt
shopping,Traval
train ticket,Bonus
online course,Utilties
gym membership,Freelance
fixed deposit,Bonus
lunch,Entertain
online course,Food
gym membership,Foodd
internet bill,Rent
internet bill,Education
train ticket,Food
shopping,Foodd
emi payment,Utlities
shopping,Entrtnmnt
books,Travel
coffee,Rnt
electricity bill,Utlities
gym membership,Fod
internet bill,Travel
emi payment,Food
monthly rent payment,Salary
doctor consultation,Investment
doctor consultation,Educaton
gym membership,Freelance
restaurant dinner,Entertainment
grocery shopping,Edu
petrol,Foodd
books,Rent
medicine,Rent
fixed deposit,Rent
gym membership,Traval
internet bill,Education
medicine,Bonus
lunch,Foods
lunch,Rent
atm withdrawal,Food
monthly rent payment,Education
lunch,Utility
electricity bill,Bonus
movie tickets,Entrtnmnt
online course,Entertainment
doctor consultation,Entertainment
coffee,Food
electricity bill,Rent
doctor consultation,Education
movie tickets,Food
misc,Entrtnmnt
online course,Education
shopping,Health
movie tickets,Fod
restaurant dinner,Entertainment
movie tickets,Food
coffee,Travel
electricity bill,Food
doctor consultation,Travel
atm withdrawal,Bonus
books,Food
movie tickets,Utilties
grocery shopping,Rent
misc,Rnt
medicine,Others
misc,Savings
monthly rent payment,Travel
train ticket,Entrtnmnt
gym membership,Foods
electricity bill,Food
doctor consultation,Utlities
lunch,Rent
grocery shopping,Saving
gym membership,Utilties
coffee,Food
misc,Food
medicine,Health
fixed deposit,Entertain
emi payment,Others
monthly rent payment,Travel
shopping,Health
shopping,Bonus
movie tickets,Bonus
monthly rent payment,Foodd
internet bill,Freelance
monthly rent payment,Health
grocery shopping,Others
fixed deposit,Investment
internet bill,Food
atm withdrawal,Travel
train ticket,Rent
misc,Utilities
lunch,Bonus
petrol,Rent
fixed deposit,Food
internet bill,Others
internet bill,Fod
emi payment,Bonus
internet bill,Utilities
petrol,Foods
books,Traval
lunch,Rentt
internet bill,Edu
fixed deposit,Travel
gym membership,Rent
online course,Rent
petrol,Edu
shopping,Food
doctor consultation,Travel
books,Bonus
movie tickets,Entertain
shopping,Health
electricity bill,Utilities
online course,Rnt
restaurant dinner,Utilities
petrol,Education
restaurant dinner,Savings
movie tickets,Travel
books,Education
gym membership,Health
monthly rent payment,Rentt
atm withdrawal,Rent
restaurant dinner,Travel
online course,Rent
internet bill,Others
electricity bill,Foodd
internet bill,Food
internet bill,Education
coffee,Entertainment
medicine,Rent
movie tickets,Health
emi payment,Travel
gym membership,Freelance
restaurant dinner,Utilities
emi payment,Education
misc,Rentt
medicine,Investment
shopping,Others
online course,Fod
train ticket,Others
train ticket,Other
movie tickets,Investment
internet bill,Educaton
grocery shopping,Food
train ticket,Foodd
coffee,Utilties
restaurant dinner,Foodd
online course,Food
uber ride,Saving
electricity bill,Rent
uber ride,Fod
movie tickets,Others
misc,Utilities
medicine,Traval
movie tickets,Savings
train ticket,Education
grocery shopping,Entertainment
monthly rent payment,Food
petrol,Saving
restaurant dinner,Rent
online course,Savings
shopping,Food
lunch,Travel
online course,Foodd
internet bill,Rent
restaurant dinner,Rnt
uber ride,Entertainment
movie tickets,Others
misc,Travel
restaurant dinner,Rnt
restaurant dinner,Salary
gym membership,Traval
internet bill,Foods
internet bill,Entertainment
internet bill,Entertain
misc,Rent
grocery shopping,Bonus
restaurant dinner,Misc
online course,Food
electricity bill,Rnt
shopping,Travel
grocery shopping,Travel
lunch,Foods
lunch,Rent
gym membership,Entertainment
train ticket,Entertain
restaurant dinner,Food
books,Others
fixed deposit,Food
movie tickets,Travel
online course,Fod
shopping,Freelance
train ticket,Rent
monthly rent payment,Entertain
lunch,Travel
electricity bill,Fod
gym membership,Utility
online course,Fod
grocery shopping,Travel
books,Rentt
lunch,Traval
train ticket,Others
lunch,Others
grocery shopping,Entrtnmnt
shopping,Salary
gym membership,Education
monthly rent payment,Rent
fixed deposit,Food
books,Rent
books,Travl
medicine,Travl
movie tickets,Rent
movie tickets,Travel
shopping,Travel
internet bill,Traval
shopping,Rnt
coffee,Foodd
misc,Entertainment
train ticket,Foodd
gym membership,Savings
medicine,Entertainment
doctor consultation,Rent
online course,Educaton
uber ride,Fod
movie tickets,Food
grocery shopping,Health
internet bill,Food
gym membership,Bonus
train ticket,Salary
emi payment,Foods
electricity bill,Rnt
shopping,Salary
medicine,Investment
electricity bill,Rent
emi payment,Travel
petrol,Food
grocery shopping,Rent
movie tickets,Savings
restaurant dinner,Bonus
shopping,Investment
restaurant dinner,Entertainment
restaurant dinner,Foods
doctor consultation,Rent
uber ride,Rent
train ticket,Rent
uber ride,Entertainment
monthly rent payment,Foods
uber ride,Health
electricity bill,Foodd
monthly rent payment,Foodd
misc,Entertain
fixed deposit,Utilities
misc,Salary
internet bill,Health
atm withdrawal,Travel
train ticket,Utilities
books,Food
fixed deposit,Rent
coffee,Travel
movie tickets,Investment
monthly rent payment,Travel
uber ride,Rnt
train ticket,Food
lunch,Foods
electricity bill,Health
coffee,Utlities
fixed deposit,Rent
books,Bonus
shopping,Travel
monthly rent payment,Other
lunch,Educaton
train ticket,Foods
monthly rent payment,Entrtnmnt
atm withdrawal,Utilties
monthly rent payment,Rent
petrol,Utlities
doctor consultation,Salary
grocery shopping,Travl
coffee,Health
coffee,Foodd
misc,Bonus
misc,Rent
emi payment,Misc
misc,Rent
atm withdrawal,Utilities
movie tickets,Education
doctor consultation,Travel
petrol,Rnt
lunch,Rent
grocery shopping,Education
online course,Rent
grocery shopping,Rent
medicine,Fod
grocery shopping,Travl
shopping,Rent
train ticket,Investment
gym membership,Saving
online course,Rnt
online course,Helth
atm withdrawal,Travel
restaurant dinner,Food
internet bill,Food
fixed deposit,Entrtnmnt
fixed deposit,Utility
uber ride,Rentt
books,Utlities
online course,Savings
shopping,Rent
online course,Bonus
monthly rent payment,Rentt
monthly rent payment,Travel
emi payment,Food
books,Others
atm withdrawal,Rentt
emi payment,Educaton
petrol,Food
atm withdrawal,Food
medicine,Food
gym membership,Food
emi payment,Health
coffee,Fod
emi payment,Food
electricity bill,Bonus
grocery shopping,Other
coffee,Fod
emi payment,Others
internet bill,Travl
uber ride,Foods
coffee,Utility
shopping,Rent
internet bill,Entertain
coffee,Rent
electricity bill,Foods
coffee,Salary
restaurant dinner,Utility
petrol,Traval
fixed deposit,Entertain
petrol,Health
coffee,Food
atm withdrawal,Travel
uber ride,Travel
train ticket,Entertainment
lunch,Rent
books,Educaton
doctor consultation,Fod
train ticket,Rentt
lunch,Travel
movie tickets,Education
emi payment,Health
gym membership,Rnt
shopping,Utilties
electricity bill,Edu
electricity bill,Education
online course,Foodd
internet bill,Foodd
online course,Traval
online course,Foodd
movie tickets,Rent
online course,Entrtnmnt
emi payment,Investment
restaurant dinner,Food
monthly rent payment,Other
petrol,Misc
movie tickets,Entertain
online course,Food
misc,Others
internet bill,Investment
electricity bill,Rent
shopping,Investment
misc,Rnt
atm withdrawal,Entrtnmnt
books,Food
lunch,Travl
train ticket,Food
shopping,Savings
electricity bill,Utility
internet bill,Travel
medicine,Bonus
atm withdrawal,Education
atm withdrawal,Entrtnmnt
coffee,Bonus
petrol,Travel
books,Savings
movie tickets,Entertainment
grocery shopping,Rnt
electricity bill,Rent
emi payment,Travl
shopping,Entrtnmnt
shopping,Fod
electricity bill,Travl
monthly rent payment,Investment
gym membership,Travel
uber ride,Fod
emi payment,Fod
grocery shopping,Helth
misc,Freelance
grocery shopping,Travel
grocery shopping,Foods
atm withdrawal,Food
shopping,Food
atm withdrawal,Saving
grocery shopping,Rent
online course,Fod
grocery shopping,Health
doctor consultation,Travl
medicine,Entrtnmnt
movie tickets,Utilities
grocery shopping,Rent
restaurant dinner,Food
emi payment,Rnt
online course,Foods
books,Rnt
fixed deposit,Food
online course,Foods
coffee,Travel
uber ride,Food
shopping,Fod
monthly rent payment,Entertainment
monthly rent payment,Travel
electricity bill,Foods
electricity bill,Travel
lunch,Rent
emi payment,Rentt
emi payment,Savings
internet bill,Utilties
restaurant dinner,Foodd
doctor consultation,Helth
books,Others
restaurant dinner,Helth
electricity bill,Others
emi payment,Traval
books,Bonus
fixed deposit,Food
movie tickets,Entertain
monthly rent payment,Rent
petrol,Foods
petrol,Traval
gym membership,Educaton
uber ride,Helth
petrol,Food
restaurant dinner,Others
restaurant dinner,Entrtnmnt
restaurant dinner,Rnt
train ticket,Foodd
emi payment,Rent
shopping,Entertain
fixed deposit,Rent
monthly rent payment,Rentt
books,Utilities
internet bill,Freelance
grocery shopping,Travel
online course,Rentt
grocery shopping,Foods
misc,Utilities
emi payment,Travel
movie tickets,Rentt
misc,Food
coffee,Education
fixed deposit,Entrtnmnt
atm withdrawal,Food
petrol,Food
shopping,Bonus
internet bill,Rnt
fixed deposit,Salary
shopping,Travl
movie tickets,Investment
doctor consultation,Edu
online course,Food
petrol,Educaton
fixed deposit,Rent
fixed deposit,Entertain
internet bill,Fod
doctor consultation,Traval
lunch,Rentt
atm withdrawal,Rnt
books,Rent
monthly rent payment,Investment
coffee,Investment
online course,Bonus
train ticket,Utilties
doctor consultation,Entrtnmnt
lunch,Rnt
grocery shopping,Foodd
books,Health
books,Rentt
emi payment,Helth
online course,Traval
grocery shopping,Others
atm withdrawal,Entertain
petrol,Entertainment
shopping,Rent
gym membership,Entertainment
train ticket,Rent
misc,Bonus
train ticket,Utilities
grocery shopping,Utility
lunch,Utility
uber ride,Rentt
uber ride,Utilities
internet bill,Utility
gym membership,Freelance
uber ride,Health
coffee,Rent
monthly rent payment,Education
misc,Travel
movie tickets,Foodd
emi payment,Food
electricity bill,Fod
coffee,Others
lunch,Rent
restaurant dinner,Rent
medicine,Food
petrol,Utilities
restaurant dinner,Rnt
electricity bill,Utlities
train ticket,Foodd
doctor consultation,Investment
train ticket,Salary
movie tickets,Entertainment
uber ride,Foodd
gym membership,Food
train ticket,Entertainment
internet bill,Fod
books,Other
books,Food
train ticket,Traval
movie tickets,Others
internet bill,Rnt
atm withdrawal,Food
atm withdrawal,Education
shopping,Others
medicine,Food
movie tickets,Helth
petrol,Edu
fixed deposit,Health
grocery shopping,Rent
books,Entertainment
grocery shopping,Savings
gym membership,Bonus
internet bill,Educaton
restaurant dinner,Travel
restaurant dinner,Rent
medicine,Rent
electricity bill,Investment
books,Education
coffee,Rnt
online course,Educaton
coffee,Health
monthly rent payment,Rnt
doctor consultation,Travl
monthly rent payment,Rentt
coffee,Others
atm withdrawal,Others
medicine,Entertainment
emi payment,Utility
gym membership,Travel
books,Fod
monthly rent payment,Saving
monthly rent payment,Foods
online course,Entrtnmnt
gym membership,Edu
coffee,Travel
monthly rent payment,Entrtnmnt
petrol,Others
gym membership,Freelance
gym membership,Travel
emi payment,Investment
books,Travel
misc,Fod
restaurant dinner,Travel
movie tickets,Travel
uber ride,Food
movie tickets,Others
uber ride,Rentt
online course,Utilities
online course,Foods
movie tickets,Freelance
train ticket,Utilities
online course,Utilities
medicine,Travel
lunch,Food
petrol,Others
misc,Rent
restaurant dinner,Utilties
internet bill,Education
petrol,Rent
petrol,Investment
misc,Travel
emi payment,Utilities
monthly rent payment,Rentt
atm withdrawal,Fod
movie tickets,Food
coffee,Fod
misc,Edu
atm withdrawal,Food
online course,Foodd
uber ride,Fod
electricity bill,Investment
electricity bill,Freelance
coffee,Entrtnmnt
books,Foods
movie tickets,Freelance
petrol,Health
uber ride,Savings
doctor consultation,Health
monthly rent payment,Others
shopping,Foods
movie tickets,Foods
shopping,Others
grocery shopping,Utilities
electricity bill,Food
lunch,Foods
fixed deposit,Utility
gym membership,Rent
train ticket,Rentt
restaurant dinner,Rentt
doctor consultation,Foodd
internet bill,Salary
coffee,Education
atm withdrawal,Entrtnmnt
doctor consultation,Freelance
restaurant dinner,Educaton
online course,Travel
train ticket,Rent
lunch,Utilties
electricity bill,Traval
movie tickets,Education
misc,Travel
online course,Education
movie tickets,Freelance
monthly rent payment,Utilities
uber ride,Food
internet bill,Utilities
fixed deposit,Utilities
gym membership,Food
emi payment,Foods
movie tickets,Freelance
misc,Food
uber ride,Entertainment
grocery shopping,Health
petrol,Savings
shopping,Foods
lunch,Foods
coffee,Entertainment
medicine,Freelance
movie tickets,Traval
uber ride,Utilities
internet bill,Education
atm withdrawal,Health
medicine,Rent
uber ride,Entertainment
electricity bill,Bonus
coffee,Edu
medicine,Rent
petrol,Saving
shopping,Entertain
coffee,Others
emi payment,Foods
medicine,Food
gym membership,Travel
coffee,Food
restaurant dinner,Travel
electricity bill,Fod
emi payment,Freelance
coffee,Education
electricity bill,Rentt
atm withdrawal,Travel
petrol,Traval
petrol,Travel
internet bill,Educaton
shopping,Freelance
fixed deposit,Travel
atm withdrawal,Bonus
monthly rent payment,Rent
uber ride,Saving
restaurant dinner,Rent
shopping,Entrtnmnt
restaurant dinner,Food
books,Others
doctor consultation,Food
restaurant dinner,Foodd
shopping,Rnt
petrol,Fod
train ticket,Rentt
uber ride,Rent
gym membership,Others
electricity bill,Entertainment
monthly rent payment,Utlities
coffee,Entrtnmnt
fixed deposit,Fod
books,Health
grocery shopping,Entertainment
train ticket,Food
grocery shopping,Salary
train ticket,Entertainment
grocery shopping,Travel
monthly rent payment,Travl
fixed deposit,Foods
books,Others
doctor consultation,Others
atm withdrawal,Travel
atm withdrawal,Rentt
books,Food
atm withdrawal,Utilities
electricity bill,Utilties
restaurant dinner,Rentt
online course,Fod
medicine,Rent
monthly rent payment,Rent
internet bill,Food
monthly rent payment,Others
coffee,Entertainment
restaurant dinner,Utilities
monthly rent payment,Salary
internet bill,Entertain
monthly rent payment,Travl
train ticket,Salary
lunch,Rent
lunch,Food
emi payment,Bonus
restaurant dinner,Food
emi payment,Misc
books,Rentt
lunch,Travel
online course,Food
atm withdrawal,Health
train ticket,Utilities
emi payment,Entrtnmnt
restaurant dinner,Savings
atm withdrawal,Bonus
internet bill,Utilities
train ticket,Educaton
electricity bill,Fod
fixed deposit,Others
electricity bill,Rnt
lunch,Others
grocery shopping,Rent
grocery shopping,Rent
petrol,Food
medicine,Foods
internet bill,Rnt
online course,Travel
misc,Freelance
monthly rent payment,Rent
online course,Utilities
misc,Health
petrol,Fod
grocery shopping,Rent
shopping,Utilities
doctor consultation,Rent
movie tickets,Freelance
internet bill,Investment
internet bill,Travel
misc,Travel
emi payment,Savings
emi payment,Edu
grocery shopping,Foods
monthly rent payment,Rnt
atm withdrawal,Traval
misc,Food
electricity bill,Food
electricity bill,Others
online course,Food
train ticket,Utilties
petrol,Fod
atm withdrawal,Utilities
misc,Traval
atm withdrawal,Edu
uber ride,Rentt
internet bill,Entertainment
coffee,Utility
train ticket,Utility
restaurant dinner,Entertainment
grocery shopping,Investment
medicine,Traval
emi payment,Fod
grocery shopping,Food
lunch,Foods
grocery shopping,Food
books,Entrtnmnt
doctor consultation,Food
electricity bill,Travel
misc,Rnt
medicine,Traval
train ticket,Entertainment
electricity bill,Food
doctor consultation,Health
emi payment,Food
monthly rent payment,Food
atm withdrawal,Edu
electricity bill,Utility
emi payment,Utilities
uber ride,Entertainment
monthly rent payment,Foodd
restaurant dinner,Freelance
uber ride,Rent
doctor consultation,Helth
atm withdrawal,Travl
uber ride,Rnt
movie tickets,Entertainment
grocery shopping,Helth
electricity bill,Food
petrol,Traval
medicine,Foodd
movie tickets,Entertainment
fixed deposit,Utilities
online course,Others
doctor consultation,Rent
internet bill,Utilties
uber ride,Savings
train ticket,Edu
atm withdrawal,Education
medicine,Rnt
uber ride,Freelance
electricity bill,Traval
lunch,Food
emi payment,Savings
petrol,Food
uber ride,Salary
grocery shopping,Entertainment
internet bill,Utilities
restaurant dinner,Travl
medicine,Rent
misc,Food
coffee,Travel
internet bill,Traval
doctor consultation,Travel
restaurant dinner,Investment
grocery shopping,Utlities
gym membership,Food
grocery shopping,Travel
petrol,Utilties
medicine,Education
grocery shopping,Education
fixed deposit,Health
fixed deposit,Education
gym membership,Travel
train ticket,Travel
coffee,Travel
restaurant dinner,Foodd
monthly rent payment,Bonus
fixed deposit,Utility
misc,Utilties
fixed deposit,Traval
online course,Fod
atm withdrawal,Traval
medicine,Edu
lunch,Utilties
movie tickets,Entertainment
movie tickets,Health
petrol,Food
electricity bill,Food
petrol,Rent
online course,Rent
internet bill,Travl
electricity bill,Utility
uber ride,Foodd
coffee,Entertain
movie tickets,Travel
misc,Rent
atm withdrawal,Travel
online course,Entertainment
uber ride,Entrtnmnt
coffee,Traval
petrol,Foods
gym membership,Others
train ticket,Freelance
coffee,Rent
gym membership,Food
books,Rentt
online course,Health
coffee,Salary
lunch,Entertain
uber ride,Rent
movie tickets,Others
train ticket,Utilities
electricity bill,Utilities
emi payment,Fod
atm withdrawal,Foodd
fixed deposit,Utilties
medicine,Foods
electricity bill,Education
online course,Travel
medicine,Fod
monthly rent payment,Entertain
doctor consultation,Entertainment
internet bill,Rent
petrol,Entrtnmnt
misc,Foods
lunch,Utilities
petrol,Travel
atm withdrawal,Rnt
lunch,Fod
shopping,Food
atm withdrawal,Foodd
misc,Entrtnmnt
fixed deposit,Food
gym membership,Rent
movie tickets,Educaton
monthly rent payment,Helth
monthly rent payment,Health
movie tickets,Traval
monthly rent payment,Travel
lunch,Travel
petrol,Travel
emi payment,Educaton
atm withdrawal,Utilities
internet bill,Food
electricity bill,Freelance
electricity bill,Others
monthly rent payment,Travel
fixed deposit,Food
train ticket,Rent
electricity bill,Travel
online course,Edu
online course,Investment
train ticket,Foodd
medicine,Rnt
movie tickets,Fod
petrol,Food
restaurant dinner,Rnt
atm withdrawal,Utility
medicine,Food
coffee,Rent
medicine,Salary
online course,Helth
electricity bill,Food
restaurant dinner,Rent
medicine,Salary
petrol,Salary
lunch,Traval
doctor consultation,Travl
atm withdrawal,Educaton
gym membership,Rentt
medicine,Travel
monthly rent payment,Educaton
doctor consultation,Entrtnmnt
